url,preferred category in new site:,alias,status/notes,additional notes,page title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,section_id,categories,,,,
/documents/viewDocument.php?document_id=4016,,rfp,,DAM: KEEP!,City RFP Information,15,14,0:00:17,12,91.67%,80.00%,5,Home,Business,Business Resources,,
/documents/viewDocument.php?document_id=2113,,economicvitality,about,,Department of Economic & Sustainable Development,455,355,0:01:08,28,42.86%,15.60%,1,Home,Business,Economic & Sustainable Development,,
/documents/viewDocument.php?document_id=1968,,,about,,Economic & Sustainable Development Staff,"1,027",882,0:02:32,427,68.38%,53.55%,1,Home,Business,Economic & Sustainable Development,Economic & Sustainable Development Staff,
,,,,,,,,,,,,,,,,,
/documents/viewDocument.php?document_id=89,,,b&c,business,Economic Development Commission,198,153,0:00:47,7,71.43%,9.09%,1,Home,Government,Boards and Commissions,Economic Development Commission,
/documents/viewDocument.php?document_id=182,,,b&c,business,Bloomington Industrial Development Advisory Commission,96,74,0:00:40,4,0.00%,6.25%,2,Home,Government,Boards and Commissions,Bloomington Industrial Development Advisory Commission,
/documents/viewDocument.php?document_id=2117,,,b&c,business,Economic Development Boards & Commissions,73,41,0:00:11,1,0.00%,4.11%,1,Home,Business,Economic & Sustainable Development,Economic Development Boards & Commissions,
/documents/viewDocument.php?document_id=5861,,,b&c,,Sustainable City Commissions,55,40,0:00:19,0,0.00%,9.09%,1,,,,,
/documents/viewDocument.php?document_id=5771,,,b&c,,About Bloomington Commission on Sustainability,48,41,0:00:54,4,75.00%,29.17%,1,Home,Government,Boards and Commissions,Commission on Sustainability,About Bloomington Commission on Sustainability
/documents/viewDocument.php?document_id=1539,,,b&c,keep,BIDAC Minutes,18,9,0:00:22,0,0.00%,11.11%,1,Home,Government,Boards and Commissions,Bloomington Industrial Development Advisory Commission,BIDAC Minutes
/documents/viewDocument.php?document_id=5972,,,b&c,DAM:keep,About the BAC,13,9,0:01:12,2,50.00%,30.77%,1,,,,,
/documents/viewDocument.php?document_id=1538,,,b&c,DAM: keep,BIDAC Agendas,10,7,0:00:11,0,0.00%,0.00%,1,Home,Government,Boards and Commissions,Bloomington Industrial Development Advisory Commission,BIDAC Agendas
/documents/viewDocument.php?document_id=1527,,,b&c,DAM: keep - minutes archive,Commission on Sustainability Minutes,,,,,,,1,,,,,
,,,,,,,,,,,,,,,,,
/documents/viewDocument.php?document_id=2133,,,buea,business,BUEA Incentives for Investors,,,,,,,1,Home,Government,Boards and Commissions,Bloomington Urban Enterprise Association,BUEA Incentives for Investors
/documents/viewDocument.php?document_id=166,,buea,buea,,Bloomington Urban Enterprise Association,,,,,,,1,Home,Government,Boards and Commissions,Bloomington Urban Enterprise Association,
/documents/viewDocument.php?document_id=2131,,,buea,business,BUEA Incentives and Programs for Businesses,155,81,0:00:22,6,66.67%,7.10%,1,Home,Government,Boards and Commissions,Bloomington Urban Enterprise Association,BUEA Incentives and Programs for Businesses
/documents/viewDocument.php?document_id=2149,,,buea,business,BUEA Investment Deduction Information,70,43,0:01:57,4,50.00%,30.00%,2,Home,Government,Boards and Commissions,Bloomington Urban Enterprise Association,BUEA Incentives for Investors
/documents/viewDocument.php?document_id=2132,,,buea,residents,BUEA Incentives for Residents,65,49,0:02:17,36,66.67%,56.92%,1,Home,Government,Boards and Commissions,Bloomington Urban Enterprise Association,BUEA Incentives for Residents
/documents/viewDocument.php?document_id=880,,,buea,DAM: consolidate,BUEA Employment Expense Credit,36,29,0:00:59,4,100.00%,33.33%,1,Home,Government,Boards and Commissions,Bloomington Urban Enterprise Association,BUEA Incentives and Programs for Businesses
/documents/viewDocument.php?document_id=2147,,,buea,DAM: keep/consolidate  / business,BUEA Historic Facade Preservation Grants,31,29,0:01:37,18,88.89%,61.29%,1,Home,Government,Boards and Commissions,Bloomington Urban Enterprise Association,BUEA Incentives and Programs for Businesses
/documents/viewDocument.php?document_id=878,,,buea,business,BUEA Entrepreneurial Support and Technical Assistance,22,20,0:01:08,1,0.00%,27.27%,2,Home,Government,Boards and Commissions,Bloomington Urban Enterprise Association,BUEA Incentives and Programs for Businesses
/documents/viewDocument.php?document_id=2148,,,buea,business,BUEA Business Facility Rehabilitation Loans,19,15,0:00:36,1,100.00%,15.79%,1,Home,Government,Boards and Commissions,Bloomington Urban Enterprise Association,BUEA Incentives and Programs for Businesses
/documents/viewDocument.php?document_id=881,,,buea,business,BUEA Investment Cost Credit,7,5,0:02:28,0,0.00%,14.29%,1,Home,Government,Boards and Commissions,Bloomington Urban Enterprise Association,BUEA Incentives and Programs for Businesses
/documents/viewDocument.php?document_id=2124,,taxabatement,business (although we also do housing abatements occasionally),"DAM: keep - this is one of few items that might be considered a ""service"" in the websites definition of service",Tax Abatement,,,,,,,1,Home,Business,Economic & Sustainable Development,Business Incentives,
/documents/viewDocument.php?document_id=236,,ctp,business,DAM: keep -- maybe create a The Trades District website? (Brad Wisler has purchased tradesdistrict.com and offered it for the City's use),Certified Technology Park,,,,,,,2,Home,Business,Economic & Sustainable Development,,
/documents/viewDocument.php?document_id=17,,sustainabledevelopment,business,sustainability / redevelopment,Sustainable Development,,,,,,,1,Home,Sustainability,,,
/documents/viewDocument.php?document_id=8591,,,business,DAM: keep ,Request for Proposals: Downtown Redevelopment Opportunity (in the Certified Technology Park),662,506,0:02:09,135,67.41%,46.22%,3,Home,Business,,,
/documents/viewDocument.php?document_id=5767,,ctp-rfq,business,DAM: keep / consolidate with CTP somehow,Background Documents for Certified Technology Park Master Plan and Redevelopment Strategy,,,,,,,1,Home,Business,Business Resources,Economic Development Districts,
/documents/viewDocument.php?document_id=6,,business,business,,Business & Economic Development,,,,,,,1,,,,,
/documents/viewDocument.php?document_id=320,,business-licenses,business,service,Business Licenses,628,375,0:01:57,117,51.28%,32.80%,1,Home,Business,Business Resources,,
/documents/viewDocument.php?document_id=310,,,business,service,City of Bloomington Business Resources,418,281,0:01:35,171,35.67%,31.10%,1,Home,Business,Business Resources,,
/documents/viewDocument.php?document_id=307,,,business,consolidate (business incentives & assistance),Business Resources,314,212,0:00:27,2,0.00%,5.41%,2,Home,Business,Business Resources,,
/documents/viewDocument.php?document_id=5518,,,business,remove/redirect to Planning & Transportation,Zoning Districts,281,147,0:01:49,8,50.00%,17.79%,1,,,,,
/documents/viewDocument.php?document_id=5534,,,business,"DAM: the trouble with getting rid of this page is that Planning & Trans doesn't really have a page geared toward small business. Developers can easily navigate planinng/zoning processes, but small businesses don't have that ability. ESD serves as liaison and we need a way for the web to reflect this ""service"" of ours; and also a convenient ""one-stop"" location for businesses to understand who they need to meet, what their regulations/ requirements might be... that's what ESD's small business strategy is all about -- maybe there's a way to consolidate this with (business resources) or (business incentives & assistance)","Planning, Zoning, and Engineering Requirements",112,88,0:01:07,32,93.75%,35.71%,1,,,,,
/documents/viewDocument.php?document_id=308,,,business,consolidate (business resources),Business Incentives and Assistance,93,78,0:00:49,2,50.00%,23.66%,1,Home,Business,Business Resources,,
/documents/viewDocument.php?document_id=5533,,,business,DAM: a lot of the small business questions we get are from mobile food vendor startups or food carts; this is helpful information to keep available on the website.  in some format.,Guidelines for Food Service Operations within the City of Bloomington,89,65,0:02:11,28,60.71%,48.31%,1,,,,,
/documents/viewDocument.php?document_id=309,,,business,,Business Opportunities,83,70,0:00:27,1,0.00%,13.25%,1,Home,Business,Business Resources,,
/documents/viewDocument.php?document_id=2126,,,business,consolidate,CRED Districts,71,52,0:00:33,16,56.25%,22.54%,1,Home,Government,Boards and Commissions,Bloomington Industrial Development Advisory Commission,
/documents/viewDocument.php?document_id=2115,,,business,consolidate,Economic Development Districts,65,44,0:00:49,1,0.00%,9.23%,1,Home,Business,Business Resources,Economic Development Districts,
/documents/viewDocument.php?document_id=5439,,,business,"DAM: I've always disliked the format of the business academy - but the information is important, and the service we're trying to provide here is important. I'd like a better solution, but not to lose the information from the site",Business Academy,6,5,0:00:20,2,50.00%,50.00%,1,,,,,
/documents/viewDocument.php?document_id=5517,,,business,consolidate,Economic Development District Maps,26,14,0:01:03,5,60.00%,23.08%,1,,,,,
/documents/viewDocument.php?document_id=5515,,,business,"DAM: Keep -- information referal services / consolidate with ""outside resources"" and categorize that page into visitors / business / residents etc.",Links to Other Business Resources,14,8,0:01:35,2,100.00%,21.43%,1,,,,,
/documents/viewDocument.php?document_id=2116,,incentives,business,DAM: keep/consolidate with (business resources) and (business incentives and assistance),Business Incentives,4,4,0:00:24,0,0.00%,0.00%,4,Home,Business,Business Resources,,
/documents/viewDocument.php?document_id=9093,,,business / redevelopment,DAM: keep - CTP,Notice of Offering: Real Estate for Sale,21,13,0:03:39,2,100.00%,47.62%,1,,,,,
/documents/viewDocument.php?document_id=8124,,,business / ctp,DAM: KEEP -- this is still an active issue regarding the CTP,"Showers Administration Building RFP (Due March 3, 2014)",92,63,0:02:36,20,30.00%,27.17%,1,Home,Business,Business Resources,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
/documents/viewDocument.php?document_id=7405,,,students / housing,,RentRocket,89,76,0:04:56,64,84.38%,79.78%,1,Home,Sustainability,Get Involved with Sustainability,,
/documents/viewDocument.php?document_id=8106,,brownfields,sustainability / redevelopment ,DAM: Keep for our EPA Brownfield Grant outreach requirements,EPA Brownfields Assessment Grant Fact Sheet,,,,,,,1,Home,Business,Economic & Sustainable Development,,
/documents/viewDocument.php?document_id=5829,,sustainablecity,sustain,,Sustainable City,,,,,,,1,,,,,
/documents/viewDocument.php?document_id=90,,sustainability,sustain,,City of Bloomington Commission on Sustainability,,,,,,,1,Home,Government,Boards and Commissions,Commission on Sustainability,
/documents/viewDocument.php?document_id=6050,,energyresources,sustain,,Energy resources for residents,,,,,,,1,Home,Sustainability,Sustainability Topics,Sustainability Topics - Energy and Climate Protection,
/documents/viewDocument.php?document_id=5623,,energydashboard,sustain,,Energy Dashboard,,,,,,,2,Home,Business,,,
/documents/viewDocument.php?document_id=6328,,,sustain,Keep and update,Energy Conservation: Steps to reduce your impact,305,265,0:02:21,231,89.18%,75.08%,1,Home,Sustainability,Greening Your Home,,
/documents/viewDocument.php?document_id=5837,,,sustain,Keep and update,City Sustainability Highlights,230,162,0:02:18,23,95.65%,19.57%,1,Home,Sustainability,,,
/documents/viewDocument.php?document_id=7006,,,sustain,Keep and update,Electric Vehicle Charging Stations,205,179,0:02:59,146,83.56%,72.68%,1,Home,Sustainability,,,
/documents/viewDocument.php?document_id=6937,,,sustain,Keep and update,Water conservation: Steps to reduce your impact,199,162,0:01:10,132,87.12%,67.34%,1,Home,Sustainability,Greening Your Home,,
/documents/viewDocument.php?document_id=8228,,sustainability/monroe-county-energy-challenge,sustain,link to page of sustainability highlights,The Monroe County Energy Challenge,155,110,0:03:50,79,67.09%,55.48%,1,Home,Sustainability,,,
/documents/viewDocument.php?document_id=6348,,,sustain,modify and refocus as major sustainability initiative,Waste Management,116,90,0:01:14,9,33.33%,24.14%,1,Home,Sustainability,Sustainability Topics,Sustainability Topics - Waste Management,
/documents/viewDocument.php?document_id=5848,,,sustain,"ideally part of a larger sustainability plan, which has been in limbo for several years; may make sense to remove for now along with the individual topic areas listed below",Sustainability Topics,86,67,0:00:58,2,100.00%,11.63%,1,Home,Sustainability,Sustainability Topics,,
/documents/viewDocument.php?document_id=5807,,,sustain,modify and refocus as major sustainability initiative,Energy,78,57,0:00:52,2,0.00%,16.67%,2,Home,Sustainability,Sustainability Topics,,
/documents/viewDocument.php?document_id=5854,,,sustain,Keep and update,Greening City Government,77,54,0:00:35,2,50.00%,23.38%,1,,,,,
/documents/viewDocument.php?document_id=6291,,,sustain,modify and refocus as major sustainability initiative,Transportation needs,77,67,0:02:59,56,89.29%,74.03%,1,Home,Sustainability,Sustainability Topics,Sustainability Topics - Transportation & Land Use,
/documents/viewDocument.php?document_id=6324,,,sustain,check with Planning to see if this info is maintained on their pages,"Miles of bike lanes, routes, trails, and paths",75,66,0:00:55,38,68.42%,38.67%,1,Home,Sustainability,Sustainability Topics,Sustainability Topics - Transportation & Land Use,
/documents/viewDocument.php?document_id=6321,,,sustain,Link to transportation initiatives page if not included on BT pages,Annual Rate of Bus Ridership,65,56,0:03:29,42,78.57%,63.08%,1,Home,Sustainability,Sustainability Topics,Sustainability Topics - Transportation & Land Use,
/documents/viewDocument.php?document_id=6502,,,sustain,news release? update?,Target: Increase Bus Ridership to 7.5 million per year by 2014,55,51,0:02:34,42,88.10%,78.18%,1,Home,Sustainability,Sustainability Topics,Sustainability Topics - Transportation & Land Use,
/documents/viewDocument.php?document_id=6326,,greenhome,sustain,consolidate,Greening your Home I,53,34,0:00:32,1,0.00%,15.09%,2,Home,Sustainability,Sustainability Topics,,
/documents/viewDocument.php?document_id=6072,,,sustain,consolidate,A Note on Sustainability Indicators and Targets,38,27,0:00:37,6,83.33%,21.05%,1,Home,Sustainability,Sustainability Topics,,
/documents/viewDocument.php?document_id=5856,,,sustain,some outdated content,Sustainable City Publications,42,34,0:00:58,4,0.00%,16.67%,1,,,,,
/documents/viewDocument.php?document_id=1965,,,sustain,outdated,US Mayors Climate Protection Agreement,50,36,0:04:16,26,76.92%,56.00%,1,Home,Sustainability,,,
/documents/viewDocument.php?document_id=5928,,,sustain,Possibly remove,Natural Resources and Environmental Quality,85,63,0:01:19,6,83.33%,24.71%,2,Home,Sustainability,Sustainability Topics,,
/documents/viewDocument.php?document_id=6046,,,sustain,Possibly remove,Housing and the Built Environment,85,61,0:01:24,4,25.00%,14.12%,2,Home,Sustainability,Sustainability Topics,,
/documents/viewDocument.php?document_id=5929,,,sustain/water,Possibly remove,Water,83,66,0:00:40,6,33.33%,10.84%,1,Home,Sustainability,Sustainability Topics,Sustainability Topics - Natural Resources,
/documents/viewDocument.php?document_id=5952,,,sustain/water,possibly remove,Water Target I: Install 200 rain barrels every year,69,50,0:02:43,41,80.49%,66.67%,1,Home,Sustainability,Sustainability Topics,Sustainability Topics - Natural Resources,
/documents/viewDocument.php?document_id=1974,,,sustain,Possibly remove,Sustainability Reports,67,47,0:01:43,2,50.00%,29.85%,1,Home,Government,Boards and Commissions,Commission on Sustainability,
/documents/viewDocument.php?document_id=5876,,,sustain,Remove,Get Involved,64,51,0:00:57,2,50.00%,15.62%,2,,,,,
/documents/viewDocument.php?document_id=5770,,,Sustain,Deleted,Bloomington Community Orchard,55,48,0:02:28,22,72.73%,47.27%,1,Home,Government,Boards and Commissions,Commission on Sustainability,
/documents/viewDocument.php?document_id=7018,,,sustain,Deleted,Solid Waste Reduction: How to make less trash,72,64,0:01:21,50,88.00%,69.44%,1,Home,Sustainability,Greening Your Home,,
/documents/viewDocument.php?document_id=6450,,,sustain,Moved to MCEC website,Advanced Steps to Save Energy in Your Home,52,37,0:00:54,9,66.67%,38.46%,1,Home,Sustainability,Greening Your Home,,
/documents/viewDocument.php?document_id=6449,,,sustain,Moved to MCEC website,Intermediate Steps to Save Energy in Your Home,48,42,0:01:26,9,77.78%,18.75%,1,Home,Sustainability,Greening Your Home,,
,,,,,,,,,,,,,,,,,
/documents/viewDocument.php?document_id=486,,,arts,bead DAM: Keep - key part of our ESD strategy,Economic Development in BEAD,173,134,0:01:18,47,57.45%,31.79%,1,Home,Arts & Culture,Bloomington Entertainment & Arts District (BEAD),Economic Development in BEAD,
/documents/viewDocument.php?document_id=485,,,arts,bead DAM: Keep - key part of our ESD strategy,District Character Areas and Map,136,101,0:00:23,8,12.50%,14.71%,1,Home,Arts & Culture,Bloomington Entertainment & Arts District (BEAD),District Character Areas and Map,
/documents/viewDocument.php?document_id=5465,,,bead,"DAM: this is actually somewhat of a ""service""",BEAD Street Banner Program,90,58,0:01:49,30,70.00%,45.56%,2,Home,Arts & Culture,,,
/documents/viewDocument.php?document_id=484,,,,bead DAM: Keep - key part of our ESD strategy,Mission and Vision (BEAD),175,136,0:02:47,45,75.56%,44.57%,1,Home,Arts & Culture,Bloomington Entertainment & Arts District (BEAD),Mission and Vision,
,,,arts,,,,,,,,,,,,,,
/documents/viewDocument.php?document_id=387,,arts,arts,DAM: keep ,Arts & Culture,,,,,,,1,Home,Arts & Culture,,,
/documents/viewDocument.php?document_id=2215,,,arts / bead,DAM: keep,BEAD Character Area Descriptions,277,228,0:01:20,10,80.00%,28.52%,1,Home,Arts & Culture,Bloomington Entertainment & Arts District (BEAD),District Character Areas and Map,
/documents/viewDocument.php?document_id=491,,,arts,"Needed in this format?  DAM: if this can be put into a calendar format, I'm all for it. However,
 we need a way to communicate about the artists and also a way to 
solicit for additional entries for the gallery program. That part is 
almost a service ""apply to show your artwork""",Atrium Exhibit Schedule,42,34,0:01:09,6,66.67%,33.33%,1,Home,Arts & Culture,Public Art and Exhibits,Atrium Exhibits,
/documents/viewDocument.php?document_id=2671,,,bead,DAM: keep,BEAD Media,4,3,0:00:18,0,0.00%,25.00%,1,,,,,
/documents/viewDocument.php?document_id=3303,,,bead,DAM: keep,BEAD News Archive,4,4,0:00:05,0,0.00%,0.00%,1,Home,Arts & Culture,Bloomington Entertainment & Arts District (BEAD),BEAD Media,
/documents/viewDocument.php?document_id=6811,,,bead,DAM: service -- access volunteer opportunities,Volunteer and BEAD Opportunities,2,2,0:00:16,0,0.00%,0.00%,1,,,,,
/documents/viewDocument.php?document_id=490,,,bead,DAM: keep,BEAD-Funded Projects and Initiatives,,,,,,,1,,,,,
/documents/viewDocument.php?document_id=6810,,,bead,"DAM: keep -- another ""service"" we provide is disseminating this information",BEAD Resources for Artists and Organizations,25,21,0:03:27,3,66.67%,36.00%,2,Home,Arts & Culture,Bloomington Entertainment & Arts District (BEAD),BEAD Resources,
/documents/viewDocument.php?document_id=6097,,,bead,,BEAD RFP FAQs,23,21,0:00:31,9,88.89%,43.48%,1,Home,Arts & Culture,Bloomington Entertainment & Arts District (BEAD),,
/documents/viewDocument.php?document_id=2339,,beadnews,bead,"DAM: keep -- service ""sign up to receive bead news weekly""",BEAD News,,,,,,,1,Home,Arts & Culture,Bloomington Entertainment & Arts District (BEAD),BEAD Newsletter,
/documents/viewDocument.php?document_id=80,,bead,arts,DAM: Keep - key initiative of ESD,Bloomington Entertainment & Arts District (BEAD),,,,,,,2,Home,Arts & Culture,,,
,,,,,,,,,,,,,,,,,
/documents/viewDocument.php?document_id=2274,,,revise format,DAM: would be great to break this page down further into business/resident/visitor - etc. This is good information. A lot of what ESD does do as a service is refer people to the right resources. OOTM and Customer Service I'm sure also do this.,Resources from Outside Agencies,209,154,0:01:28,4,75.00%,19.14%,2,Home,Government,,,
,,,,,,,,,,,,,,,,,
/documents/viewDocument.php?document_id=4575,,,arts DAM: Keep,"DAM: this is actually somewhat of a ""service"" -- consolidate with Stop & StArt gallery",Adopt a Box,179,144,0:02:06,64,73.44%,50.28%,3,,,,,
/documents/viewDocument.php?document_id=495,,,arts DAM: keep,"DAM: this is actually somewhat of a ""service""",Grant Opportunities for Arts Programming,148,110,0:01:22,15,73.33%,46.62%,3,Home,Arts & Culture,,,
/documents/viewDocument.php?document_id=492,,,public art inventory,arts DAM: I don't think social media is the right place for this. It should be on the website. Public Art is a key part of ESD's Quality of Life as ED strategies,Permanent Collection,67,41,0:00:25,6,16.67%,5.97%,1,Home,Arts & Culture,Public Art and Exhibits,Permanent Collection,
/documents/viewDocument.php?document_id=2610,,,public art inventory,arts DAM: I don't think social media is the right place for this. It should be on the website. Public Art is a key part of ESD's Quality of Life as ED strategies,Stop and StART Traffic Boxes,95,28,0:00:35,6,16.67%,6.32%,2,Home,Arts & Culture,Public Art and Exhibits,Permanent Collection,
/documents/viewDocument.php?document_id=4389,,,public art inventory,arts DAM: I don't think social media is the right place for this. It should be on the website. Public Art is a key part of ESD's Quality of Life as ED strategies,Hidden Jewel,179,171,0:00:31,5,60.00%,12.85%,1,Home,Arts & Culture,Public Art and Exhibits,Permanent Collection,Sculpture
/documents/viewDocument.php?document_id=4388,,,public art inventory,arts DAM: I don't think social media is the right place for this. It should be on the website. Public Art is a key part of ESD's Quality of Life as ED strategies,Animal Island,168,147,0:00:40,9,33.33%,11.31%,1,Home,Arts & Culture,Public Art and Exhibits,Permanent Collection,Sculpture
/documents/viewDocument.php?document_id=5975,,,public art inventory,arts DAM: I don't think social media is the right place for this. It should be on the website. Public Art is a key part of ESD's Quality of Life as ED strategies,Public Art Trail,160,64,0:01:26,22,36.36%,20.00%,3,Home,Arts & Culture,Public Art and Exhibits,,
/documents/viewDocument.php?document_id=7855,,,public art inventory,arts DAM: I don't think social media is the right place for this. It should be on the website. Public Art is a key part of ESD's Quality of Life as ED strategies,Bloomington Banquet,108,90,0:00:33,11,54.55%,12.04%,1,Home,Arts & Culture,Public Art and Exhibits,Permanent Collection,Sculpture
/documents/viewDocument.php?document_id=4371,,,public art inventory,arts DAM: I don't think social media is the right place for this. It should be on the website. Public Art is a key part of ESD's Quality of Life as ED strategies,Sculpture and Murals,94,35,0:00:44,3,66.67%,8.51%,2,Home,Arts & Culture,Public Art and Exhibits,Permanent Collection,
/documents/viewDocument.php?document_id=4405,,,public art inventory,arts DAM: I don't think social media is the right place for this. It should be on the website. Public Art is a key part of ESD's Quality of Life as ED strategies,"Red, Blond, Black and Olive",93,67,0:02:23,47,74.47%,53.76%,1,Home,Arts & Culture,Public Art and Exhibits,Permanent Collection,Sculpture
/documents/viewDocument.php?document_id=4401,,,public art inventory,arts DAM: I don't think social media is the right place for this. It should be on the website. Public Art is a key part of ESD's Quality of Life as ED strategies,Dancing Spirit Sculpture,90,79,0:00:54,18,72.22%,23.33%,1,Home,Arts & Culture,Public Art and Exhibits,Permanent Collection,Sculpture
/documents/viewDocument.php?document_id=4407,,,public art inventory,arts DAM: I don't think social media is the right place for this. It should be on the website. Public Art is a key part of ESD's Quality of Life as ED strategies,Figured Base,67,64,0:00:28,4,75.00%,8.96%,1,Home,Arts & Culture,Public Art and Exhibits,Permanent Collection,Sculpture
